unique_id,cutoff,metric,SARIMA
11,2012-08-03,rmse,76256.13923804564
12,2012-08-03,rmse,17985.704491331628
13,2012-08-03,rmse,79712.54980921597
15,2012-08-03,rmse,25162.844349139144
17,2012-08-03,rmse,33903.858377001176
19,2012-08-03,rmse,43517.7981517202
20,2012-08-03,rmse,78519.97759508276
21,2012-08-03,rmse,50450.56903374957
22,2012-08-03,rmse,52629.361870453205
23,2012-08-03,rmse,63398.75519315091
24,2012-08-03,rmse,64284.34231413193
25,2012-08-03,rmse,24240.821427503084
26,2012-08-03,rmse,31644.949531585044
27,2012-08-03,rmse,102816.28954594818
28,2012-08-03,rmse,92760.5957986072
29,2012-08-03,rmse,37121.767348687434
31,2012-08-03,rmse,32333.950879814256
32,2012-08-03,rmse,24991.38257692138
34,2012-08-03,rmse,22565.852299439008
35,2012-08-03,rmse,40236.05096316556
37,2012-08-03,rmse,10360.375003858953
39,2012-08-03,rmse,52644.48068111214
40,2012-08-03,rmse,28986.78272746763
41,2012-08-03,rmse,42204.99943579817
43,2012-08-03,rmse,18462.01512810733
45,2012-08-03,rmse,39083.199471970795
